Name,AdapterType,Label,MacAddress,MacAddressType,PortGroupName,PortGroupType,DVSwitchName,IPAddress,PrefixLength,DHCP,Connected,StartConnected,AllowGuestControl,Shares,ShareLevel,Status
vesxi-vsan-10.60.176.23,vmxnet3,Network adapter 1,00:50:56:9c:6e:62,assigned,S02-HCM-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
vesxi-vsan-10.60.176.23,vmxnet3,Network adapter 2,00:50:56:9c:44:f2,assigned,S02-HCM-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
vesxi-vsan-10.160.176.21,vmxnet3,Network adapter 1,00:50:56:9c:b2:a4,assigned,S01-HCM-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
vesxi-vsan-10.160.176.21,vmxnet3,Network adapter 2,00:50:56:9c:71:43,assigned,S01-HCM-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
vesx-photon-04,vmxnet3,Network adapter 1,00:50:56:9c:84:b0,assigned,10-cmi-mgmt,Distributed,vds-mgmt,"""""","""""","""""",TRUE,TRUE,TRUE,50,normal,ok
vesx-photon-04,vmxnet3,Network adapter 2,00:50:56:9c:f3:d4,assigned,photon-tenant,Distributed,vds-compute,"""""","""""","""""",TRUE,TRUE,TRUE,50,normal,ok
Test,vmxnet3,Network adapter 1,00:50:56:9c:26:15,assigned,10-cmi-mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
Tiny-Web-Right,e1000,Network adapter 1,00:50:56:9c:f3:a9,assigned,vxw-dvs-42-virtualwire-30-sid-5011-srs-uno-web-right,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
vesxi-vsan-10.160.60.29,vmxnet3,Network adapter 2,00:50:56:9c:9b:78,assigned,S01-HCP-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
vesxi-vsan-10.160.60.29,vmxnet3,Network adapter 1,00:50:56:9c:81:4d,assigned,S01-HCP-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
vesxi-vsan-10.160.60.26,vmxnet3,Network adapter 1,00:50:56:9c:a0:61,assigned,S01-HCP-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
vesxi-vsan-10.160.60.26,vmxnet3,Network adapter 2,00:50:56:9c:88:31,assigned,S01-HCP-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
csr1kv01,vmxnet3,Network adapter 3,00:50:56:9c:61:3f,assigned,102-csr-zone02,Distributed,vds-compute,"""""","""""","""""",TRUE,TRUE,TRUE,50,normal,ok
csr1kv01,vmxnet3,Network adapter 1,00:50:56:9c:48:0f,assigned,10-csr-vrf-mgmt,Distributed,vds-compute,"""""","""""","""""",TRUE,TRUE,TRUE,50,normal,ok
csr1kv01,vmxnet3,Network adapter 2,00:50:56:9c:00:00,assigned,101-csr-zone01,Distributed,vds-compute,"""""","""""","""""",TRUE,TRUE,TRUE,50,normal,ok
vesxi-vsan-10.60.60.27,vmxnet3,Network adapter 1,00:50:56:9c:53:f2,assigned,S02-HCP-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
vesxi-vsan-10.60.60.27,vmxnet3,Network adapter 2,00:50:56:9c:8b:0b,assigned,S02-HCP-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
vlabdc002,vmxnet3,Network adapter 1,00:50:56:9c:26:a6,assigned,10-cmi-mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
logi-dev-node1,vmxnet3,Network adapter 1,00:50:56:9c:30:45,assigned,10-cmi-mgmt,Distributed,vds-mgmt,"""""","""""","""""",TRUE,TRUE,TRUE,50,normal,ok
vesxi-vsan-10.60.176.25,vmxnet3,Network adapter 1,00:50:56:9c:2b:75,assigned,S02-HCM-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
vesxi-vsan-10.60.176.25,vmxnet3,Network adapter 2,00:50:56:9c:c0:ba,assigned,S02-HCM-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
vesxi-vsan-10.160.176.24,vmxnet3,Network adapter 1,00:50:56:9c:b0:80,assigned,S01-HCM-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
vesxi-vsan-10.160.176.24,vmxnet3,Network adapter 2,00:50:56:9c:92:f8,assigned,S01-HCM-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
vesxi-vsan-10.160.60.24,vmxnet3,Network adapter 1,00:50:56:9c:71:92,assigned,S01-HCP-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
vesxi-vsan-10.160.60.24,vmxnet3,Network adapter 2,00:50:56:9c:a3:e4,assigned,S01-HCP-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
vesxi-vsan-10.60.176.22,vmxnet3,Network adapter 1,00:50:56:9c:2c:2d,assigned,S02-HCM-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
vesxi-vsan-10.60.176.22,vmxnet3,Network adapter 2,00:50:56:9c:87:99,assigned,S02-HCM-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
vesxi-vsan-10.160.176.22,vmxnet3,Network adapter 1,00:50:56:9c:17:6c,assigned,S01-HCM-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
vesxi-vsan-10.160.176.22,vmxnet3,Network adapter 2,00:50:56:9c:c0:47,assigned,S01-HCM-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
vesxi-vsan-10.60.60.25,vmxnet3,Network adapter 1,00:50:56:9c:06:f3,assigned,S02-HCP-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",TRUE,TRUE,TRUE,50,normal,ok
vesxi-vsan-10.60.60.25,vmxnet3,Network adapter 2,00:50:56:9c:10:cb,assigned,S02-HCP-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",TRUE,TRUE,TRUE,50,normal,ok
VLABDJ003,vmxnet3,Network adapter 1,00:50:56:9c:84:6e,assigned,Disconnected,Standard,vds-mgmt,"""""","""""","""""",FALSE,FALSE,TRUE,50,normal,untried
VLABJB002,vmxnet3,Network adapter 1,00:50:56:9c:cf:b1,assigned,S01-HCM-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
